File Number,Average
0099,-0.020172003415784484
0072,0.027214990441282325
0066,-0.01505972163382543
0067,-0.027459443166918104
0073,0.029177419721864224
0098,-0.02941311874574353
0059,-0.020144294456907328
0065,0.0030461712177920256
0071,0.014831672041165948
0070,-0.0032570955631099135
0064,0.019928797934587284
0058,-0.02939672720538793
0100,-0.003261839450489224
0060,-0.0032508230279795257
0074,0.019963617362478453
0048,-0.02938886076977694
0049,-0.020133432140615307
0075,0.0030742621719935348
0061,0.014827381466608835
0088,-0.02941259018268319
0077,-0.027455609606465523
0063,0.02914574363075862
0062,0.027195938689784486
0076,-0.015043449514784483
0089,-0.020169081059536638
0039,-0.02012465760878232
0011,0.014797514201605603
0005,0.002964914695271659
0004,0.019604220702984915
0010,-0.003275507367981681
0038,-0.029382275824260777
0006,-0.015156870386109914
0012,0.027124111008610983
0013,0.02903557072747845
0007,-0.027521894606508623
0003,0.02927837481070043
0017,-0.027476414019224137
0016,-0.01513634781641379
0002,0.02691476267757543
0014,0.019787021510280174
0000,0.0
0028,-0.029378873460118533
0029,-0.020120307082331892
0001,0.013955417538566273
0015,0.002920582944233836
0018,-0.02938350751072414
0030,-0.0032364096993286635
0024,0.01981517280948276
0025,0.002946270178141164
0031,0.014822260750775862
0019,-0.02012301233585884
0027,-0.027468549592984916
0033,0.02907346265700431
0032,0.027159540816519397
0026,-0.015117629786120688
0022,0.027148996945024786
0036,-0.015104101699676726
0037,-0.027465556495506468
0023,0.029057020228146553
0035,0.002968118721125
0021,0.014815331500785128
0009,-0.020152636087129316
0008,-0.029376203119410024
0020,-0.003243350450891164
0034,0.01983807578145474
0090,-0.003262693046954741
0084,0.019996908062693965
0053,0.02911680960982759
0047,-0.02746376226298491
0046,-0.015090474125549569
0052,0.027180469541034487
0085,0.0031008594248900863
0091,0.01484743905404095
0087,-0.02745042573461207
0093,0.029239190952661635
0078,-0.029409515377327586
0044,0.019864360183600212
0050,-0.00324365462606681
0051,0.014825480237307113
0045,0.0029916918127834056
0079,-0.020163306364471986
0092,0.027257630153308184
0086,-0.015027356516088362
0082,0.027236166128457976
0096,-0.01501179848833513
0041,0.01482453340077694
0055,0.003018019506233729
0069,-0.020154771075323274
0068,-0.029404033087144395
0054,0.019894837412952584
0040,-0.003237872505625
0097,-0.027443915158415943
0083,0.029209292939290945
0095,0.0031251256007661645
0081,0.014838579094714442
0056,-0.015075592816163792
0042,0.027168870248334698
0043,0.029092710785937496
0057,-0.027461988339989224
0080,-0.003261207167630388
0094,0.020027108927964443
